",""logFC"",""AveExpr"",""t"",""P.Value"",""adj.P.Val"",""B"",""GeneSymbol"""
"212996_s_at,0.615994300127936,9.12374049875434,4.46476793948818,0.000187794817823105,0.163723772374613,0.736744130239376,""URB1"""
"226380_at,0.640365289598418,7.44863619876168,4.44547111706535,0.000196926302293885,0.163723772374613,0.696774459521239,""PTPN21"""
"214455_at,-1.8546982321638,5.30244573174908,-4.44378158249879,0.000197746678239539,0.163723772374613,0.693274169198689,""H2BC4"""
"203884_s_at,0.627999791962383,8.58778429765564,4.43338607720843,0.000202870209528406,0.163723772374613,0.671734746940841,""RAB11FIP2"""
"213413_at,0.596503288374869,8.29505758839789,4.43213601520503,0.000203495201580337,0.163723772374613,0.669144334527307,""STON1"""
"228832_at,-1.15173507123936,10.206450716703,-4.41341046504057,0.000213091462555624,0.163723772374613,0.630333481302289,""PPP3CA-DT"""
"207397_s_at,1.30114196270903,3.93569306087704,4.41334842673028,0.000213123996637673,0.163723772374613,0.630204877644823,""HOXD13"""
"215286_s_at,-0.586768810289318,5.295318225014,-4.4116288605189,0.000214027751651675,0.163723772374613,0.626640208800789,""PHTF2"""
"218843_at,0.94364759939191,6.01433546089419,4.40427534868196,0.000217936023385004,0.163723772374613,0.611395118583624,""FNDC4"""
"204854_at,0.813944989206644,6.69074282945548,4.3949300817559,0.000223006110278039,0.163723772374613,0.592017972704382,""P3H3"""
"202095_s_at,-0.981334223838352,6.09633048321465,-4.39306772167799,0.000224030513888318,0.163723772374613,0.588156054793708,""BIRC5"""
"243928_s_at,-1.75985399413108,8.18807216179516,-4.38958739318689,0.000225957529582054,0.163723772374613,0.580938685084579,""ABCC4"""
"1562733_at,1.02399286925006,6.05018935932046,4.38562407064188,0.000228172176919823,0.163723772374613,0.572719197269087,""LINC00092"""
"212817_at,1.02373859027988,6.35150546381758,4.38143161953984,0.000230538497463294,0.163723772374613,0.564023946973479,""DNAJB5"""
"239438_at,-0.755775821346178,4.79122283198061,-4.36795154848256,0.000238314610620315,0.163723772374613,0.536062037482553,""RAPGEF6"""
"230490_x_at,0.519036045985439,6.84679657240505,4.36668565214105,0.000239058195160766,0.163723772374613,0.533435872181715,""RSU1"""
"229435_at,0.916007462012195,5.19389266546443,4.36394240214603,0.000240677545686382,0.163723772374613,0.527744691429544,""GLIS3"""
239669_at,-1.31153176134912,5.96457577956943,-4.35745399123348,0.000244551468922634,0.163723772374613,0.514282833243979,NA
"219871_at,0.687552543350846,6.70940693782235,4.35596307399626,0.000245450398562216,0.163723772374613,0.511189366449492,""KLF3-AS1"""
"241745_at,0.881609185949804,5.68438193065125,4.35158160892623,0.00024811131434751,0.163723772374613,0.502097992251363,""EPM2A-DT"""
"200930_s_at,1.2008502055758,4.96534123024426,4.35044156114601,0.000248808394974474,0.163723772374613,0.499732343715417,""VCL"""
"206110_at,-1.71985268120416,6.63487070438302,-4.33716984358818,0.000257068879544537,0.163723772374613,0.472190221565967,""H3C10"""
"212313_at,0.521484543506014,8.13009843503215,4.3343744224712,0.000258843436290689,0.163723772374613,0.466388401065736,""CHMP7"""
"224912_at,0.520001470346658,6.90475750411902,4.32843073231896,0.000262657336950189,0.163723772374613,0.454051736324669,""TTC7A"""
"232693_s_at,0.67350372242024,6.25501754465511,4.32660856283216,0.000263837782418553,0.163723772374613,0.450269472571422,""ZNF395"""
215306_at,0.754691413525981,8.42556682327666,4.31377139311096,0.000272305609931881,0.163723772374613,0.423621057108835,NA
"202783_at,0.817363979806896,6.55374496878147,4.31207737921609,0.00027344313389525,0.163723772374613,0.420104184063412,""NNT"""
"230012_at,-0.936538982440648,6.18502804296265,-4.31132779950511,0.000273947987796243,0.163723772374613,0.41854799020629,""LINC00324"""
"207550_at,0.705469205105885,6.2677611498202,4.30216668198405,0.000280193902440826,0.163723772374613,0.399527630100193,""MPL"""
"241484_x_at,0.765333012412967,6.10680515001689,4.29773060389594,0.000283269273514333,0.163723772374613,0.390316730888403,""FRG1CP"""
"205394_at,-0.529514802655082,3.8915729145701,-4.28683422586702,0.000290967201986681,0.163723772374613,0.367690096494302,""CHEK1"""
